product;code;libelle
Briquettes de charbon Char‑Broil 10 kg;04.5.4.3;Charbon de bois (ND)
Charbon de bois Dico 10 kg;04.5.4.3;Charbon de bois (ND)
Charbon de bois Gusto 10 kg;04.5.4.3;Charbon de bois (ND)
Charbon de bois Tonnelle 10 kg;04.5.4.3;Charbon de bois (ND)
Charbon de bambou Green Planet 2,5 kg;04.5.4.3;Charbon de bois (ND)
Charbon de bois Castorama 10 kg;04.5.4.3;Charbon de bois (ND)
Charbon de bois Leroy Merlin 10 kg;04.5.4.3;Charbon de bois (ND)
Briquettes de charbon Charbon Vert 10 kg;04.5.4.3;Charbon de bois (ND)
Charbon de bois Auchan 10 kg;04.5.4.3;Charbon de bois (ND)
Charbon de bois Carrefour 10 kg;04.5.4.3;Charbon de bois (ND)
Charbon de bois Leclerc 10 kg;04.5.4.3;Charbon de bois (ND)
Carrefour – Briquettes de bois 5 kg;04.5.4.9;Autres combustibles solides (ND)
Auchan – Charbon de bois 10 kg;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Briquettes de houille 6 kg;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Charbon de bois Premium;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Briquette bois bio 4 kg;04.5.4.9;Autres combustibles solides (ND)
Castorama – Charbon de bois Bûcheron;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Briquette charbon 8 kg;04.5.4.9;Autres combustibles solides (ND)
Weber – Charbon de bois BBQ Classic;04.5.4.9;Autres combustibles solides (ND)
Charbon du Sud – Charbon de bois 5 kg;04.5.4.9;Autres combustibles solides (ND)
Charbonnerie du Midi – Charbon de bois 10 kg;04.5.4.9;Autres combustibles solides (ND)
Briquettes EKO – Briquettes de bois compressé 7 kg;04.5.4.9;Autres combustibles solides (ND)
Briquette Verte – Briquette bois & résidus 5 kg;04.5.4.9;Autres combustibles solides (ND)
Viggo – Briquette de houille 6 kg;04.5.4.9;Autres combustibles solides (ND)
Charbonnet – Charbon de bois naturel 4 kg;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Coke industriel 2 t;04.5.4.9;Autres combustibles solides (ND)
Auchan – Coke de houille 1 t;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Coke de récupération 2 t;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Coke brut 3 t;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Coke de charbon 5 t;04.5.4.9;Autres combustibles solides (ND)
Castorama – Coke de houille 2 t;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Coke à usage industriel 4 t;04.5.4.9;Autres combustibles solides (ND)
Société des Cokes – Coke 10 t;04.5.4.9;Autres combustibles solides (ND)
Total – Coke de houille 15 t;04.5.4.9;Autres combustibles solides (ND)
Shell – Coke pour sidérurgie 20 t;04.5.4.9;Autres combustibles solides (ND)
BP – Coke industriel 12 t;04.5.4.9;Autres combustibles solides (ND)
Eurociment – Coke pour cimenterie 8 t;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Briquettes de canne à sucre 6 kg;04.5.4.9;Autres combustibles solides (ND)
Auchan – Briquettes à base de déchets agricoles 5 kg;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Briquettes à base de chaumes de blé 4 kg;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Briquettes à base de coques de noix 3 kg;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Briquettes biomasse 5 kg;04.5.4.9;Autres combustibles solides (ND)
Castorama – Briquettes résiduelles 6 kg;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Briquettes d’étraves 4 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon Vert – Briquettes à base de résidus de canne 5 kg;04.5.4.9;Autres combustibles solides (ND)
Briquette Bio – Briquette de paille compressée 3 kg;04.5.4.9;Autres combustibles solides (ND)
Briquettes Natura – Briquette de chaume 4 kg;04.5.4.9;Autres combustibles solides (ND)
Ecocombust – Briquette bois & paille 5 kg;04.5.4.9;Autres combustibles solides (ND)
Energie Verte – Briquette à base de déchets agricoles 6 kg;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Charbon de bois “Bûches du Sud” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Auchan – Charbon de bois “Flamme” 10 kg;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Charbon de bois “Grill Master” 8 kg;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Charbon de bois “Barbecue” 6 kg;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Charbon de bois “Premium” 12 kg;04.5.4.9;Autres combustibles solides (ND)
Castorama – Charbon de bois “Pro” 7 kg;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Charbon de bois “Nature” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Weber – Charbon de bois “Grand Flamme” 9 kg;04.5.4.9;Autres combustibles solides (ND)
Charbonnerie du Nord – Charbon de bois 4 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon de France – Charbon de houille 10 t;04.5.4.9;Autres combustibles solides (ND)
Briquette du Pays – Briquette bois & résidus 5 kg;04.5.4.9;Autres combustibles solides (ND)
Briquette du Sud – Briquette de houille 6 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon Vert – Charbon de bois “Eco” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Coke « Blocs » 1 t;04.5.4.9;Autres combustibles solides (ND)
Auchan – Coke « Granulés » 2 t;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Coke « Brique » 3 t;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Coke « Pellets » 1,5 t;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Coke « Mix » 2,5 t;04.5.4.9;Autres combustibles solides (ND)
Castorama – Coke « Mix » 3,5 t;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Coke « Standard » 4 t;04.5.4.9;Autres combustibles solides (ND)
Total – Coke « Haut Rendement » 6 t;04.5.4.9;Autres combustibles solides (ND)
Shell – Coke « Premium » 5 t;04.5.4.9;Autres combustibles solides (ND)
BP – Coke « Industrie » 7 t;04.5.4.9;Autres combustibles solides (ND)
Société des Cokes – Coke « Ultra » 10 t;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Briquette de copeaux de bois 4 kg;04.5.4.9;Autres combustibles solides (ND)
Auchan – Briquette de sciure 5 kg;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Briquette de résidus de pin 6 kg;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Briquette de déchets forestiers 5 kg;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Briquette de copeaux recyclés 4 kg;04.5.4.9;Autres combustibles solides (ND)
Castorama – Briquette de sciure compressée 3 kg;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Briquette de bois de récupération 5 kg;04.5.4.9;Autres combustibles solides (ND)
Briquette Nature – Briquette de résidus agricoles 4 kg;04.5.4.9;Autres combustibles solides (ND)
Briquette Eco – Briquette de paille et sciure 5 kg;04.5.4.9;Autres combustibles solides (ND)
Energys – Briquette de bois & résidus 6 kg;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Charbon de houille « Broyé » 2 t;04.5.4.9;Autres combustibles solides (ND)
Auchan – Charbon de houille « Granulé » 3 t;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Charbon de houille « Moulu » 2,5 t;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Charbon de houille « Poudre » 1,8 t;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Charbon de houille « Mix » 2 t;04.5.4.9;Autres combustibles solides (ND)
Castorama – Charbon de houille « Standard » 2,2 t;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Charbon de houille « Industrial » 3 t;04.5.4.9;Autres combustibles solides (ND)
Société des Cokes – Charbon de houille « Premium » 4 t;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Briquette à base de déchets de maïs 4 kg;04.5.4.9;Autres combustibles solides (ND)
Auchan – Briquette à base de tiges de colza 5 kg;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Briquette à base de résidus de tournesol 3 kg;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Briquette à base de déchets de canne à sucre 6 kg;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Briquette à base de pailles de blé 5 kg;04.5.4.9;Autres combustibles solides (ND)
Castorama – Briquette à base de chaumes de seigle 4 kg;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Briquette à base de coques d’amandes 3 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon Vert – Briquette biomasse « Agricole » 5 kg;04.5.4.9;Autres combustibles solides (ND)
Briquette Bio – Briquette de déchets de vignes 4 kg;04.5.4.9;Autres combustibles solides (ND)
Energie Verte – Briquette à base de résidus de vigne 5 kg;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Coke « Blocs » 2 t;04.5.4.9;Autres combustibles solides (ND)
Auchan – Coke « Briquettes » 2,5 t;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Coke « Briques » 3,5 t;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Coke « Pâtes » 1,2 t;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Coke « Granulés » 2,2 t;04.5.4.9;Autres combustibles solides (ND)
Castorama – Coke « Compact » 2,8 t;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Coke « Standard » 3,3 t;04.5.4.9;Autres combustibles solides (ND)
Total – Coke « Haut Rendement » 5,5 t;04.5.4.9;Autres combustibles solides (ND)
Shell – Coke « Premium » 4,5 t;04.5.4.9;Autres combustibles solides (ND)
BP – Coke « Industrie » 6,5 t;04.5.4.9;Autres combustibles solides (ND)
Société des Cokes – Coke « Ultra » 8 t;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Charbon de bois “Flamme Douce” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Auchan – Charbon de bois “Rochers” 8 kg;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Charbon de bois “Barbecue Pro” 6 kg;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Charbon de bois “Feu Vert” 4 kg;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Charbon de bois “Naturel” 7 kg;04.5.4.9;Autres combustibles solides (ND)
Castorama – Charbon de bois “Grand Feu” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Charbon de bois “Eco” 3 kg;04.5.4.9;Autres combustibles solides (ND)
Weber – Charbon de bois “Premium BBQ” 9 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon du Nord – Charbon de bois “Nordic” 4 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon du Sud – Charbon de bois “Sud” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Briquette de houille “Standard” 5 t;04.5.4.9;Autres combustibles solides (ND)
Auchan – Briquette de houille “Premium” 6 t;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Briquette de houille “Pro” 7 t;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Briquette de houille “Industriel” 4 t;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Briquette de houille “Compacte” 5,5 t;04.5.4.9;Autres combustibles solides (ND)
Castorama – Briquette de houille “Mix” 6,5 t;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Briquette de houille “Standard” 5,2 t;04.5.4.9;Autres combustibles solides (ND)
Société des Cokes – Briquette de houille “Ultra” 8 t;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Briquette à base de déchets de pommier 3 kg;04.5.4.9;Autres combustibles solides (ND)
Auchan – Briquette à base de résidus de fruitier 4 kg;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Briquette à base de coquilles de noisette 2 kg;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Briquette à base de résidus de pistache 3 kg;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Briquette à base de résidus de cerise 2,5 kg;04.5.4.9;Autres combustibles solides (ND)
Castorama – Briquette à base de coques de noix 3 kg;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Briquette à base de chutes de fruit 2 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon Vert – Briquette « Agricole » 4 kg;04.5.4.9;Autres combustibles solides (ND)
Briquette Bio – Briquette « Résidus Agricoles » 5 kg;04.5.4.9;Autres combustibles solides (ND)
Energie Verte – Briquette « Déchets Végétaux » 4,5 kg;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Coke « Granulés » 1,5 t;04.5.4.9;Autres combustibles solides (ND)
Auchan – Coke « Pellets » 2,2 t;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Coke « Bloc » 3,2 t;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Coke « Briquette » 2,7 t;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Coke « Standard » 3,0 t;04.5.4.9;Autres combustibles solides (ND)
Castorama – Coke « Mix » 3,8 t;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Coke « Premium » 4,0 t;04.5.4.9;Autres combustibles solides (ND)
Total – Coke « Haut Rendement » 6,2 t;04.5.4.9;Autres combustibles solides (ND)
Shell – Coke « Industriel » 5,5 t;04.5.4.9;Autres combustibles solides (ND)
BP – Coke « Standard » 7,0 t;04.5.4.9;Autres combustibles solides (ND)
Société des Cokes – Coke « Ultra » 9,5 t;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Charbon de bois “Bûchette” 4 kg;04.5.4.9;Autres combustibles solides (ND)
Auchan – Charbon de bois “Grill’In” 7 kg;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Charbon de bois “Flamme Rapide” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Charbon de bois “Eco Grill” 6 kg;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Charbon de bois “Nature Grill” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Castorama – Charbon de bois “Pro Grill” 8 kg;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Charbon de bois “Vert Grill” 4 kg;04.5.4.9;Autres combustibles solides (ND)
Weber – Charbon de bois “Barbecue” 9 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon du Nord – Charbon de bois “Nord Grill” 3 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon du Sud – Charbon de bois “Sud Grill” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Briquette de bois “EcoPack” 4 kg;04.5.4.9;Autres combustibles solides (ND)
Auchan – Briquette de bois “Pack Nature” 6 kg;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Briquette de bois “Pack Vert” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Briquette de bois “Pack Bio” 4,5 kg;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Briquette de bois “Pack Premium” 7 kg;04.5.4.9;Autres combustibles solides (ND)
Castorama – Briquette de bois “Pack Pro” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Briquette de bois “Pack Standard” 6 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon Vert – Briquette “BioPack” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Briquette Bio – Briquette “EcoPack” 4 kg;04.5.4.9;Autres combustibles solides (ND)
Energie Verte – Briquette “VertPack” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Coke “Bloc Ultra” 2 t;04.5.4.9;Autres combustibles solides (ND)
Auchan – Coke “Granulés Pro” 2,5 t;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Coke “Brique Standard” 3,5 t;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Coke “Pellet Mix” 1,8 t;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Coke “Compact Pro” 2,6 t;04.5.4.9;Autres combustibles solides (ND)
Castorama – Coke “Standard Mix” 2,9 t;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Coke “Premium Mix” 3,3 t;04.5.4.9;Autres combustibles solides (ND)
Total – Coke “Haut Rendement” 5,8 t;04.5.4.9;Autres combustibles solides (ND)
Shell – Coke “Industrie Plus” 4,9 t;04.5.4.9;Autres combustibles solides (ND)
BP – Coke “Standard Pro” 6,9 t;04.5.4.9;Autres combustibles solides (ND)
Société des Cokes – Coke “Ultra Max” 9,8 t;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Charbon de houille “Pro” 4 t;04.5.4.9;Autres combustibles solides (ND)
Auchan – Charbon de houille “Standard” 5 t;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Charbon de houille “Mix” 6 t;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Charbon de houille “Granulé” 3,5 t;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Charbon de houille “Compact” 4,5 t;04.5.4.9;Autres combustibles solides (ND)
Castorama – Charbon de houille “Premium” 5,5 t;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Charbon de houille “Industrial” 6,2 t;04.5.4.9;Autres combustibles solides (ND)
Société des Cokes – Charbon de houille “Ultra” 8,5 t;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Briquette à base de déchets de maïs – “AgriPack” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Auchan – Briquette à base de tiges de colza – “GreenPack” 4 kg;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Briquette à base de résidus de tournesol – “SunPack” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Briquette à base de déchets de canne à sucre – “SugarPack” 6 kg;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Briquette à base de pailles de blé – “WheatPack” 4 kg;04.5.4.9;Autres combustibles solides (ND)
Castorama – Briquette à base de chaumes de seigle – “RyePack” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Briquette à base de coques d’amandes – “NutPack” 3 kg;04.5.4.9;Autres combustibles solides (ND)
Charbon Vert – Briquette “AgriMix” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Briquette Bio – Briquette “BioMix” 4 kg;04.5.4.9;Autres combustibles solides (ND)
Energie Verte – Briquette “EcoMix” 5 kg;04.5.4.9;Autres combustibles solides (ND)
Carrefour – Coke “Industrial Block” 2 t;04.5.4.9;Autres combustibles solides (ND)
Auchan – Coke “Standard Pellet” 2,3 t;04.5.4.9;Autres combustibles solides (ND)
Leclerc – Coke “High Yield” 3,2 t;04.5.4.9;Autres combustibles solides (ND)
Intermarché – Coke “Mix Granules” 1,9 t;04.5.4.9;Autres combustibles solides (ND)
Leroy Merlin – Coke “Premium Compact” 2,7 t;04.5.4.9;Autres combustibles solides (ND)
Castorama – Coke “Standard Mix” 3,1 t;04.5.4.9;Autres combustibles solides (ND)
Bricorama – Coke “Industrial Premium” 4,1 t;04.5.4.9;Autres combustibles solides (ND)
Total – Coke “Ultra High” 5,9 t;04.5.4.9;Autres combustibles solides (ND)
Shell – Coke “Pro Energy” 5,1 t;04.5.4.9;Autres combustibles solides (ND)
BP – Coke “Standard Energy” 7,2 t;04.5.4.9;Autres combustibles solides (ND)
Société des Cokes – Coke “Max Ultra” 9,9 t;04.5.4.9;Autres combustibles solides (ND)
Engie Eau chaude;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Veolia Chauffage urbain;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Suez énergie thermique;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
EDF Chaudière district;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
GDF Suez vapeur;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
TotalEnergies chaleur;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Air Liquide vapeur industrielle;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Citelum énergie chauffage;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Direct Energie chaleur;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
ENEDIS énergie thermique;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Thermorégion eau chaude;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
District Heating Paris;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Chauffage urbain Lyon;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Chaudière ville Marseille;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Eau chaude Cité;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Vapeur industrielle Engie;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Bloc de glace Système;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace industrielle Veolia;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block Cool‑Tech;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack Hélicon;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Cube Pro (exclu) – NON;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glaçons industriels (exclu) – NON;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace en vrac Sibelco;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace à la pierre Garde‑Froid;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace de refroidissement Air‑Cool;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace cryogénique Cryo‑France;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Bloc de glace Thermo‑Ice;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack + K‑Line;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace pour réfrigération Cegid;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block – Cavital;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace sèche Sidi;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace de stockage Nyrstar;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace industrielle Loxam;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace à usage professionnel Givaudan;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack — Alimex;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace en granulés Givaudan;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Bloc — Soudélec;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack Pro — Muller;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace de refroidissement — Groupe Ariane;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block — Miroir;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace en bloc — Eur‑Ice;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Cube Bulk (exclu) – NON;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Bloc glace — Cafés Société;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack — Thermal‑Pro;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace de production — Groupe Sodexo;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block — Sofrac;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace industrielle — SNCF Logistics;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack — Alphaline;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace de refroidissement — SNCF;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block — K‑Tech;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace en vrac — Sodexo;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack — Citel;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace industrielle — Bic;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block — Fédération;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace cryogénique — Air Liquide;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack — Milan;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace à usage — SNCB;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block — Euro‑Ice;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace industrielle — Cofrac;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack — Brenntag;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace à froid — Groupe BTP;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block — Région Nord;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace de refroidissement — Suez Enviro;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack — Novem;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace en blocs — Bureau Vente;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block — Micheline;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace industrielle — ArianeGroup;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack — Logistec;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace cryogénique — Cryo‑Solutions;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block — Lacroix;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace à usage professionnel — Groupe MGEN;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack — Euro‑Log;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace industrielle — Axa;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block — Météo;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace en vrac — Cofrac;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Pack — Cible;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Glace de refroidissement — Cité Scolaire;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
Ice Block — Centrale;04.5.5.0;Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)
